_id,prediction_id,ticker,strategy,signal,status,open_date,close_date,closing_reason,net_pnl,net_return_pct,batch_id
68f23bde5ddc30f0e1455de7,68f234c759f85776fdc0f7c5,WIPRO.NS,AI_Analyst_Optimized_v1,SHORT,Closed,2025-02-25T00:00:00.000Z,2025-03-12T00:00:00.000Z,Time Exit,1689.33,8.44,AzureAI-Run5
68f23bdf5ddc30f0e1455de8,68f2369359f85776fdc0f7da,TECHM.NS,AI_Analyst_Optimized_v1,SHORT,Closed,2025-02-28T00:00:00.000Z,2025-03-12T00:00:00.000Z,Target Hit,2438.73,9.14,AzureAI-Run5
68f23bdf5ddc30f0e1455de9,68f238b559f85776fdc0f7f0,KOTAKBANK.NS,AI_Analyst_Optimized_v1,SHORT,Closed,2025-03-05T00:00:00.000Z,2025-03-12T00:00:00.000Z,Trailing Stop Hit,-1218.54,-4,AzureAI-Run5
68f23df85ddc30f0e1455dea,68f2369359f85776fdc0f7d9,M&M.NS,AI_Analyst_Optimized_v1,SHORT,Closed,2025-02-28T00:00:00.000Z,2025-03-17T00:00:00.000Z,Time Exit,-115.38,-0.71,AzureAI-Run5
68f23df95ddc30f0e1455deb,68f2369259f85776fdc0f7d8,BAJFINANCE.NS,AI_Analyst_Optimized_v1,SHORT,Closed,2025-02-28T00:00:00.000Z,2025-03-17T00:00:00.000Z,Time Exit,154.79,0.64,AzureAI-Run5
68f23e925ddc30f0e1455dec,68f23c1959f85776fdc0f81c,TATAMOTORS.NS,AI_Analyst_Optimized_v1,SHORT,Closed,2025-03-12T00:00:00.000Z,2025-03-18T00:00:00.000Z,Trailing Stop Hit,-1210.58,-4.43,AzureAI-Run5
68f23f2b5ddc30f0e1455ded,68f2382059f85776fdc0f7ee,SBILIFE.NS,AI_Analyst_Optimized_v1,SHORT,Closed,2025-03-04T00:00:00.000Z,2025-03-19T00:00:00.000Z,Trailing Stop Hit,-1164.89,-5.98,AzureAI-Run5
68f23f2c5ddc30f0e1455dee,68f23c1959f85776fdc0f81d,TATASTEEL.NS,AI_Analyst_Optimized_v1,SHORT,Closed,2025-03-12T00:00:00.000Z,2025-03-19T00:00:00.000Z,Trailing Stop Hit,-1197.46,-5.15,AzureAI-Run5
68f23fca5ddc30f0e1455def,68f23c1959f85776fdc0f81e,TITAN.NS,AI_Analyst_Optimized_v1,SHORT,Closed,2025-03-12T00:00:00.000Z,2025-03-20T00:00:00.000Z,Trailing Stop Hit,-1176.47,-4.84,AzureAI-Run5
68f240685ddc30f0e1455df0,68f2395859f85776fdc0f7fe,HEROMOTOCO.NS,AI_Analyst_Optimized_v1,SHORT,Closed,2025-03-06T00:00:00.000Z,2025-03-21T00:00:00.000Z,Time Exit,-118.39,-0.33,AzureAI-Run5
68f241fb5ddc30f0e1455df1,68f2400e59f85776fdc0f849,TECHM.NS,AI_Analyst_Optimized_v1,SHORT,Closed,2025-03-20T00:00:00.000Z,2025-03-25T00:00:00.000Z,Stop-Loss Hit (Gap Up),-1590.56,-5.4,AzureAI-Run5
