date,ticker
2025-03-31,ONGC.NS
2025-03-31,POWERGRID.NS
2025-03-31,RELIANCE.NS
2025-03-31,SBILIFE.NS
2025-03-31,SBIN.NS
2025-03-31,SHRIRAMFIN.NS
2025-03-31,SUNPHARMA.NS
2025-03-31,TATACONSUM.NS
2025-03-31,TATAMOTORS.NS
2025-03-31,TATASTEEL.NS
2025-03-31,TCS.NS
2025-03-31,TECHM.NS
2025-03-31,TITAN.NS
2025-03-31,TRENT.NS
2025-03-31,ULTRACEMCO.NS
2025-03-31,WIPRO.NS
